Date,Open,High,Low,Close,Volume
7/25/2000,147.75,147.84375,146.78125,97.45623,4757100
7/26/2000,146.96875,147.15625,145.640625,96.505272,12062500
7/27/2000,145.9375,146.625,144.6875,96.174477,7652600
7/28/2000,145.71875,145.90625,141.515625,94.003723,6229500
7/31/2000,142.9375,144.125,142.0625,94.603287,5265500
8/1/2000,143.625,144.71875,143.125,95.182121,3946600
8/2/2000,143.875,145.40625,143.625,95.6576,7439800
8/3/2000,142.875,145.8125,142.625,96.319199,4607100
8/4/2000,146.3125,146.71875,145.40625,96.836037,3686600
8/7/2000,146.71875,148.4375,146.375,97.993752,4159800
8/8/2000,147.5,148.8125,147.5,98.365875,3658700
8/9/2000,149.140625,149.21875,147.375,97.538971,5383800
8/10/2000,147.53125,147.859375,146.28125,97.063431,4193400
8/11/2000,146.625,148,145.5625,97.518272,5089400
8/14/2000,147.78125,149.5625,147.0625,98.758667,2966700
8/15/2000,149.34375,149.8125,148.5625,98.675995,5564600
8/16/2000,149.3125,149.9375,147.84375,98.324539,5191600
8/17/2000,148.6875,150.4375,148.34375,99.358238,5652200
8/18/2000,150.375,150.375,149.21875,99.027466,4626400
8/21/2000,150.03125,150.71875,149.40625,99.565025,2380600
8/22/2000,150.5625,151.3125,150.09375,99.399605,3075300
8/23/2000,149.8125,151.28125,149.28125,99.792435,5483200
8/24/2000,151.15625,151.5,150.5,100.102486,4529000
8/25/2000,151.15625,151.625,150.9375,100.06115,2822200
8/28/2000,151.25,152.90625,151.25,100.402313,5518700
8/29/2000,151.4375,151.875,150.90625,100.422935,3561900
8/30/2000,151.3125,151.5,150.34375,99.461655,3964800
8/31/2000,151.0625,153.09375,150.90625,100.784767,4863100
9/1/2000,153.25,153.59375,152,100.888077,3191200
9/5/2000,151.875,152.203125,150.8125,100.081787,3470800
9/6/2000,151.1875,151.953125,149.53125,98.944733,4322200
9/7/2000,150.25,151.078125,149.828125,99.792435,4265500
9/8/2000,150.28125,150.5,149.328125,99.110115,3518200
9/11/2000,149.75,151.1875,148.6875,98.965446,3937500
9/12/2000,149.75,150.25,148.4375,98.241829,4769100
9/13/2000,148,149.34375,147.65625,98.500237,7691600
9/14/2000,149.875,149.9375,148.15625,98.996468,3397100
9/15/2000,148.1875,148.25,146,96.830612,4085700
9/18/2000,146.375,146.96875,144.203125,95.939377,5109300
9/19/2000,145.125,146.3125,144.703125,96.80986,6588200
9/20/2000,145.6875,146.03125,143.15625,96.094826,6508100
9/21/2000,144.46875,145.5625,142.625,94.633652,5972300
9/22/2000,142.625,145.3125,142.421875,96.353912,7791300
9/25/2000,145.9375,146.0625,143.71875,95.670006,9726300
9/26/2000,144.375,145,142.40625,94.447113,5302400
9/27/2000,143.5625,143.96875,142.125,94.944565,7186200
9/28/2000,143.1875,146.328125,142.890625,96.167389,7036400
9/29/2000,145.46875,145.96875,143.625,95.25547,9333600
10/2/2000,144.28125,144.90625,143.140625,95.400513,5517800
10/3/2000,144.53125,145.75,142.28125,94.509315,9347200
10/4/2000,142.875,144.25,141.75,95.296898,6148900
10/5/2000,143.40625,144.84375,143.3125,95.628532,4566900
10/6/2000,143.875,144.640625,139.75,93.555984,10014900
10/9/2000,141.3125,141.3125,139.375,92.851288,4508000
10/10/2000,140.09375,141.25,137.6875,91.317551,6104700
10/11/2000,137.625,138.625,135.125,90.55069,10346000
10/12/2000,137.28125,137.59375,132.78125,88.291588,12336900
10/13/2000,132.9375,137.65625,132.875,91.23465,11778800
10/16/2000,137.40625,138.234375,136.6875,91.649216,5659000
10/17/2000,138.4375,138.5625,134.40625,89.369308,7831700
10/18/2000,132.625,136.125,130.15625,89.037727,10897300
10/19/2000,136.84375,139.453125,136.4375,92.395309,8767300
10/20/2000,138.375,141.1875,138.375,92.789009,7373500
10/23/2000,139.9375,141.03125,138.9375,93.203606,5290000
10/24/2000,140.96875,141.9375,139,92.581833,5750700
10/25/2000,138.75,139.5625,136.125,90.405609,9137600
10/26/2000,137.125,137.65625,134.03125,90.65435,9345800
10/27/2000,137.875,139.28125,136.625,92.374588,9762900
10/30/2000,138.4375,141.09375,138.15625,93.203606,10154100
10/31/2000,141.015625,143.6875,140.0625,94.809845,7752400
11/1/2000,142.25,143.25,141.21875,94.488632,6753600
11/2/2000,143.15625,143.90625,142.515625,94.644035,11395100
11/3/2000,143.46875,143.75,142.375,94.695869,5187100
11/6/2000,143.15625,144.296875,143.03125,95.359039,4042500
